【  Yukikaki  by @WORDS_SCRAPER is licensed under a Creative Commons Attribution 4.0 International License.】【ctrl+↓で下に行けるぞ！】 【Feel free to use!】 NYタイムズ国際版（＝NYT）とかネット記事とかアニメを見て自分がわからなかった単語を書いている 数学のテキスト＝Fundamental Methods of Mathematical Economics、口、俗、話の区別はあまり厳密ではない,,,
unwieldy,手に負えない,TOEFL,
stench,嫌な臭い,TOEFL,
bigwig,お偉方,TOEFL,
malleable,可鍛性の、順応性のある,TOEFL,
outlandish,奇怪な,TOEFL,
imbibe,（酒などを）飲む,TOEFL,
paragon,模範,TOEFL,
business,店舗,TOEIC,
casualty,死者,,
gauge,測定する（読み注意）,Youtube,
blackmail,脅迫,TENET,
protagonist,主人公,TENET,
hodgepodge,ごたまぜ,VOX,
per se,それ自体（読み注意）,VOX,
snug,心地よい、サイズがぴったり合う,三者三葉,ピッチリしたサイズのメイド服～、AppleWatchのレビュー中にソロループのサイズ感の文脈でも
vanity,うぬぼれ、見栄,VOX,
plethora,過剰、多くの,ネット記事,
caveat,警告、但し書き,ネット記事,
dead-on,完璧に正しい、どんぴしゃ,NYT,
win in a landslide,圧勝する,ネット記事,
heretic,異端者,とある魔術の禁書目録,
measured,慎重な、考慮した,NYT,
vestigial,痕跡の、名残の,VOX,
"Meet~,",～を紹介します、こちら～です（ニュース番組で）,授業,
primordial,原始の、基本の,,
mint,ハッカ、貨幣造幣局,論文,ビットコインの論文にあった
breakeven,収支トントン,論文,ビットコインの論文にあった
pall,つまらなくなる、興味を失わせる,VOX,自然ドキュメンタリーにおいてストーリー性もないとつまらないよねって文脈
obituary,死亡記事,ネット記事,
top-notch,一流の,ネット記事,
bipartisan,超党派の,NYT,中国に対して、民主共和両党の超党派が~の文脈
holistic,全体論的な,ネット記事,
betray a lack of understanding of,～についての無理解をさらけ出す,NYT,
never tire of ~ing,～してばかりいる,NYT,
bespoke,オーダーメードの,NYT,
at a good clip,すばやく,NYT,
spleen,不機嫌,NYT,
callousness,冷淡さ,NYT,
maintain a veneer of normalcy,平静を装う,NYT,
verdant,新緑の,NYT,
sought-after,引っ張りだこの,ネット記事,バベルの塔は最も人気で引っ張りだこの主題だという記事
couldn't have been worse,最悪だった,NYT,
none other than ~,他ならぬ,NYT,
be on the back back burner,は後回しである,NYT,
cash in on ~,～を利用する、あやかる,ネット記事,画家が絵の人気にあやかって、コピーを複数制作した文脈
boondoggle,価値のない仕事,ネット記事,ITER計画についての記事中の反対意見
coveted,切望された,NYT,
populace,大衆,NYT,
have since 過去分詞,その後、～して,NYT,
egregious,ひどい,論文,
ne'er-do-well,ろくでなし,NYT,
hone,（能力などに）磨きをかける,NYT,
cinch,容易いこと,NYT,
hit or miss,一か八か、あてずっぽうで,NYT,
a cherry on top,おまけ,NYT,
runner-up,2位、次点,サマーウォーズ,サマーウォーズ中の数学オリンピック日本代表次点の設定でこれが使われていた
err on the side of safety,安全な方に間違える≒慎重になる,NYT,
on top of that,それに加えて,NYT,
annex,併合する、別館（名詞）,NYT,
dappled,まだらの,NYT,
corollary,当然の結果、帰結,NYT,
reams of ~,たくさんの（紙、研究、情報）,NYT,
almost certainly,ほぼ確実に,NYT,
stochastic,確率論的な,授業,
onus,義務、責任,NYT,
modicum,少量,NYT,
epithet,形容語句、あだ名,NYT,
penury,貧乏,NYT,
truism,自明の理、わかりきったこと,NYT,
cohort,群,NYT,
immaterial,重要でない,NYT,
pertain,関係する,数学のテキスト,
en masse,ひとまとめに、集団で,数学のテキスト,
to the effect that,という趣旨の,数学のテキスト,
hitherto,これまで,数学のテキスト,
by the same token,同様に,数学のテキスト,
cremation,火葬,NYT,
gasp for air,苦しそうに喘ぐ,NYT,
N.B.,よく注意せよ,数学のテキスト,
through and through,徹底的に,デスストランディング,
Xenophobia,外国人嫌い,NYT,
profane,冒涜する、世俗の,NYT,
revamp,改造する、改善する,NYT,
aggrandize,拡大する、誇張する,NYT,
incarcerate,監禁する,NYT,
in vitro fertilization,体外受精,NYT,
vasectomy,パイプカット,NYT,
ensconce,落ち着く、座る、隠れる,NYT,
saving grace,（欠点を補う）取り柄、悪くない点,数学のテキスト,「この仮定は非現実的であるが、取り柄として計算がシンプルになることが挙げられる」
eavesdropper,盗聴者,NYT,
after a fashion,ある程度は、曲がりなりにも,ネット記事,大きな問題を小さな問題に分割する人間的な思考の特徴が、ある程度は、チップ設計にも当てはまり～
rapporteur,報告者,NYT,
slog through,苦労して取り組む,NYT,
nebulous,漠然とした、星雲の,NYT,
verbiage,言い回し,NYT,大統領のこの言い回しに困惑するが～
cacophonous,耳障りな,NYT,
cant,うわべだけの言葉,NYT,政権側の民主主義を重視する旨の発言について
give someone a run for his money,と張り合う,ネット記事,大谷翔平はベーブルースと張り合っている文脈
mane,たてがみ,NYT,
spigot,蛇口、栓,NYT,
eke,やりくりする,NYT,
vitiate,の価値を下げる、無効にする,NYT,
larynx,喉頭,NYT,
behest,命令、要請,NYT,
whooshing,風の吹くような音を立てて動く,ネット記事,
outfox,裏をかく、出し抜く,,
canonical,標準的な、正典と認められた,数学のテキスト,
surreal,シュールな,,
an apples-to-apples comparison,同じもの同士の比較,,
It's like comparing apples and oranges,それは比較できない,,
abrogate,廃止する,NYT,
albeit,ではあるが、にもかかわらず,数学のテキスト,
germane to～,～と密接な関係がある,数学のテキスト,
backdrop,背景,TOEFL,
self-evident,自明である,数学のテキスト,
proviso,条件、但し書き,数学のテキスト,
impervious,不浸透性の、影響されない,NYT,
tour de force,力技、離れ業,NYT,
duly,正式に、きちんと,数学のテキスト,きちんと計算してみると～
delineate,描写する,,
thereof,その,数学のテキスト,"〇〇, or some variant thereof   〇〇、あるいはその亜種"
podium,表彰台,NYT,
marooned,置き去りにされた,NYT,
look at the glass half full,楽観視する,NYT,経済学者は悲観的に言うだけで楽観視することを知らないの文脈
nil,なし、零,数学のテキスト,
a fortiori,なおさら,数学のテキスト,
household name,誰もが知る名前,ネット記事,
wrap-up,（記事等の）まとめ,ネット記事,
crackdown,(行為自体の)取り締まり,NYT,中国政府がIT分野での取り締まりを強化している～
sheen,光沢,NYT,
so much so that,とても～なので,NYT,
coeval,同年代の,NYT,
tussle,乱闘、格闘,NYT,
qua,～として(as),数学のテキスト,
patina,緑青、古つや,NYT,
hard-liner,強硬派,NYT,
keep~in check,～を阻止する,NYT,
outpost,前哨基地,NYT,
dire,悲惨な、恐ろしい,NYT,
perforce,いやおうなしに、必然的に,数学のテキスト,
wend,行く,NYT,
not to mention,言うまでもなく、加えて,NYT,
ordinate,縦軸,数学のテキスト,
abscissa,横軸,数学のテキスト,
in the vein of,と似たように、同様に,数学のテキスト,
outlay,支出額,授業,
oath,誓い、宣誓,NYT,
parlance,言い回し、業界用語,授業,
hare and tortoise,ウサギと亀,NYT,
kink,ねじれ,授業,グラフがなめらかになっていない、一階微分したらジャンプしてる、ところをそういってた
onerous,面倒な,NYT,
repeal,（法律などを）廃止する,NYT,
rein in,を抑制する,数学のテキスト,
take-home,（給料が）手取りの,授業,
dovetail,ありつぎ(建築用語)、～とつなぎ合わせる（with）,数学のテキスト,
spruce,1.トウヒ(名詞)     2.こぎれいにする、身なりを整える(動詞),NYT,記事では植物として、動詞はアプリのアップデート説明でインターフェースをすっきりする文脈で
fir,モミ,NYT,
in kind,現物で、同種のもので,授業,
Lump-Sum Payment,一括払い金、一時金,授業,
deadbeat,借金を返さない、だらしのない,授業,
in a league by oneself,右に出る者がいない,ネット漫画,鬼滅でin a class of its own 速度はその比じゃないというのが使われていた、禁書でin a league with them 彼らと同じ一派にいるようだなという用法で使われていた
workaround,回避策,ネット記事,
born out of wedlock,未婚の母から生まれた,授業,
child support,養育費,授業,
Habeas Corpus,人身保護令状,NYT,リンカーンの憲法を超越する改革を解説した記事
overcast,(どんよりとした)曇り,授業,晴れの日、曇りの日、雨の日にゴルフ場でプレーするかのサンプルデータ
either–or,二者択一の,,
streamline,合理化する,ネット記事,
get back on one's feet,回復する、再建する,NYT,
grandiose,壮大な,NYT,モスクワの壮大で華麗な駅ホームで、顔認識技術が使われている文脈
ornate,華麗な、凝った装飾の,NYT,
allegation,（裏付けのない）申し立て、主張,NYT,
sordid,道徳に反する(immoral)、汚い,NYT,
tryst,デート、密会（の約束）,NYT,
dossier,(特定の人物、問題の)調査書類,NYT,
dodgy,怪しい、危ない,NYT,
tidbit,"１,一口の上手い食べ物  2,ちょっとした面白いニュース",NYT,
slew of ~,たくさんの,NYT,
pliant,柔軟な、人の言いなりになりやすい,NYT,
open question,未解決の問題,授業,
penultimate,最後から2番目の（≒second  last）,NYT,
hide,獣皮,NYT,違法農場で生産された牛革がアメリカで車シートになっている記事
ostensibly,表向きは,NYT,
a flurry of 〜,相次ぐ、殺到する,NYT,
befall,（悪いことが）に起こる,NYT,
mogul,"権力者,実力者",NYT,COP26が経済界の権力者らにハイジャックされた記事
entreaty,お願い、懇願,NYT,
champion,支持する、擁護する,ネット記事,カナダ出身の科学者によって支持されているこの核融合の方式は＿
prime age,25〜54歳、労働市場において主力となる世代,NYT,
august (abj),権威ある、尊い（アクセント注意）,NYT,フランス語は権威ある機関によって厳しく保護されている～
to no avail,効果はなく,NYT,
with regularity,規則的に、定期的に,NYT,
corral,を囲い込む、集める（〜にinto）,NYT,
cougar,1.ピューマ、2.若い男性と交際したがる中年女性,東京喰種,
run-of-the-mill,ありふれた、平凡な,東京喰種,
wet behind the ears,うぶな、青二才の,東京喰種,
cesspool,汚水溜め、汚れた場所,東京喰種,
cloudburst,驟雨,東京喰種,
lithe,（特に人の体）しなやかな、やわらかい,東京喰種,
supper,夕食,東京喰種,
Orange Osmanthus,金木犀,東京喰種,
decapitation,斬首,鬼滅の刃,
hatchet,手斧,鬼滅の刃,
You're too indecisive,判断が遅い,鬼滅の刃,
wisteria,藤の花,鬼滅の刃,
complexion,顔色,鬼滅の刃,
not much to look at,見てくれが悪い,鬼滅の刃,
I’m flattered,ありがとう,鬼滅の刃,
ointment,軟膏,鬼滅の刃,
crest,1.頂点、2.家紋,鬼滅の刃,波のグラフの高くなってるところ、藤の家紋の屋敷
vile,非常に不快な、卑劣な,三者三葉,
giblet,（ニワトリなどの）臓物、もつ,三者三葉,
sea urchin,うに,三者三葉,
codfish,タラ,三者三葉,
veal,子牛の肉,三者三葉,
chestnut,栗,三者三葉,
almond jelly,杏仁豆腐,三者三葉,
runny egg,半熟卵,三者三葉,
snobby,きざな、お高くとまった,三者三葉,
vicariously,他人の経験を通じて自分のことのように感じる、代理的に,三者三葉,三十代のソノベが女子高生の主人公らに自分を投影する文脈
betrothal,婚約,三者三葉,
magnanimous,（ライバルに対し）寛大な,三者三葉,
floatie,浮き輪,三者三葉,
beach hut,海の家,三者三葉,
unblemished,傷がない、シミのない,三者三葉,
interpretive dance,創作ダンス,三者三葉,
rabid dog,狂犬,三者三葉,
hazmat suit,防護服,三者三葉,
sinfully,罪深く,三者三葉,罰当たりなほどおいしいデザート
smutty,わいせつな、（作品などが）いかがわしい,三者三葉,いかがわしいロマンスみたいな～
despicable,憎しみと軽蔑に値する,三者三葉,
Dibs on ~,～は私の！,三者三葉,ケーキいらないの？じゃ食べちゃお！の文脈
Wambulance,（インターネットスラング）誰かが変なこと言ってるときにに呼ばれる架空の救急車,三者三葉,誰か救急車呼んでーっていうツッコミの文脈
die-hard fan,筋金入りのファン,三者三葉,
be going to pay,後でひどい目に遭う、ただじゃおかない,三者三葉,彼またやったの？タダじゃおかない！の文脈
AWOL,無断欠席 (=absent without official leave),三者三葉,
dismiss,（クラスなどを）解散させる,三者三葉,…文化祭の片付けが終わった人から解散です…
train wreck,大惨事,三者三葉,フタバの食べっぷりが大惨事
from dawn until dusk,朝から晩まで,三者三葉,
deranged,狂った,三者三葉,deranged old hag 狂ったババア
hag,ババア、婆,三者三葉,サマーウォーズ、鬼滅の刃
rite of passage,通過儀礼,三者三葉,
family altar,仏壇,三者三葉,
getup,（変わった、目立つ）服装,三者三葉,あのメイド服着せてくるなら働かない！
That’s sweet,いいね,三者三葉,
miser,ケチな人,三者三葉,
playing pretend,ごっこ遊び,三者三葉,
horoscope,占い,三者三葉,
bummed,がっかりした、落ち込んだ,三者三葉,
dainty,可憐な,三者三葉,
stuff my face,たくさん食べる,三者三葉,
prank,（害をあたえるつもりのない）いたずら,三者三葉,友達同士のいたずら以外に、サマーウォーズでも主人公がハッキングしたという報道がなされたシーンにおいて、動機の解釈としていたずら目的か？とアナウンサーが言ってたときこれが使われていた
bread crusts,パンの耳,三者三葉,
bigotry,頑固な偏見（特に人種差別などの）,NYT,フランス大統領選挙で有力な極右候補がムスリムらへの偏見を振り撒いている文脈
polemicist,論客,NYT,
Antisemitism,反ユダヤ主義,NYT,ムスリムへの攻撃手法はかつて反ユダヤ主義の運動でみられたものと似ている文脈
bode,の前兆となる,NYT,
absolve,無罪を言い渡す、免除する,NYT,
Talk about ~,まさに～だね、なんて～だ！,サマーウォーズ,talk about rich だったらめっちゃ金持ち！、talk about the full lifeだったらまさに長生き！
Renaissance man,ルネサンス的教養人、なんでも完璧にこなす人,サマーウォーズ,主人公が名乗った経歴（名家出身、東大卒、海外経験あり）について
Spinster,独身女性（失礼な響き）,サマーウォーズ,
land (verb),1.着陸する、2.(口語) を得る,サマーウォーズ,I could land myself a husband any time I want! 私はいつでも結婚できるのよ！
gutter,排水溝、雨どい,サマーウォーズ,どこぞ(in some gutter)で死んだかと思ってたよ
minor,未成年,サマーウォーズ,未成年の犯行か?の文脈
tough-as-nails,1.(身体が)頑健な、2.冷酷な,サマーウォーズ,
con artist,ペテン師,サマーウォーズ,
the cat is out of the bag,秘密がバレてしまった,サマーウォーズ,主人公らの嘘がばれた文脈
throw the book at,を厳しく叱る、できる限り罰する,サマーウォーズ,
You betcha.,その通り,サマーウォーズ,
breakneck,危険なほど早いスピードで,サマーウォーズ,
slugfest,1.(野球の)乱打戦、2.(ボクシング)激しい殴り合いの試合,サマーウォーズ,
dentures,入れ歯,サマーウォーズ,
angina,狭心症,サマーウォーズ,
courtesy of,～のご厚意で、～から頂いた,サマーウォーズ,職場から通信設備を拝借して～の文脈
clear as a bell,きわめて明瞭に、澄み切った,サマーウォーズ,彼と初めて会った時のことは今でもはっきり覚えてますの文脈
turn one's back on,に背を向ける,サマーウォーズ,家族に背を向けないでの文脈
Never let life get the better of you.,人生に負けるな。,サマーウォーズ,おばあちゃんのことば
valor,（戦場での)勇敢さ.武勇,サマーウォーズ,there is more to valor than ~　勇敢であること（戦うこと）には（勝てる戦だけ戦うことよりも）意味がある
ante,(ポーカー)掛け金,サマーウォーズ,花札でも
paltry,わずかな、とるにたらない,サマーウォーズ,
granny,おばあちゃん,サマーウォーズ,
genus,属（生物の分類）,NYT,
mummified,ミイラ化した,おおかみこどもの雨と雪,”他の女の子はトカゲのミイラはきらいみたい”
jack-of-all-trades,何でも屋,おおかみこどもの雨と雪,
tadpole,おたまじゃくし,おおかみこどもの雨と雪,
a spate of,大量、短い期間に押し寄せる同質の物,NYT,大量の研究成果が幼児期教育の重要性を示唆している、この直後に同じ意味でa flurry of 研究成果
nanny state,子守国家、福祉国家の蔑称,NYT,このような政策は子守国家などと批判されてきたが
flat-out,全く、すっかり,NYT,そのような批判は全くもって間違っている
subsume,含める、組み込む,NYT,メタバースが現実世界を組み込んでいく文脈
double down on,～を強める、倍賭けする,NYT,ミシシッピ州は進歩の潮流が押し戻されるという不名誉な地位をさらに強めようしている
dubious distinction,不名誉な地位、自慢にならない特徴,NYT,
Reconstruction,アメリカ南北戦争後の期間,NYT,
Constitutional Convention,憲法制定会議,NYT,
seethe,(水が)沸き立つ、(人が怒りで)煮えくりかえる,NYT,
put stock in,～を重んじる、~を信用する,NYT,オミクロンについて楽観的にしろ悲観的な観測にしろ、まだ判断するのは早いので信用するべきではないという文脈
rock the boat,波風を立てる、事を荒立てる,NYT,so as not to rock the political boat 政治的に事を荒立てないように～
inviolable,侵すことはできない、不可侵の,NYT,（黒人や女性への差別などを踏まえて）今までこの国では不可侵の権利などなかったという文脈
indelible,消えない,NYT,
disenfranchise,投票権を奪う,NYT,
show,証明する,NYT,～ he had not shown that the constitution was discriminatory 裁判所は彼が憲法が差別的であることを証明していないとした
be sentenced to be hanged,絞首刑を言い渡される,NYT,
rubber stamp,軽率に～を承認する、考慮なしに自動的に承認する,NYT,
conjure,１．魔法をかける、２．魔法で~を出す,NYT,昨今の判決はミシシッピの亡霊（人種差別が常態化した状況）を呼び出すようだという例え、とある魔術でももちろん出てきた。
"~, I'd appreciate it.",～してくれるとありがたいです,鬼滅の刃,
nifty,粋な、しゃれた、上手な,とある魔術の禁書目録,
abode,住宅（フォーマルな表現）,鬼滅の刃,炭治郎くんは私の屋敷で保護します
gourd,ひょうたん,鬼滅の刃,
regimen,療養プログラム、訓練計画,鬼滅の刃,
ball and chain,1.足枷、2.足手まとい,とある魔術の禁書目録,主人公を置いて逃げることができなかったヒロインに対して敵が主人公を比喩
deep down,心の底で、内心は（口語）,とある魔術の禁書目録,Deep down S V 　内心はあなたたちもそれを願っていたんじゃないんですか
sanction,1.認可する、2.制裁を課す,鬼滅の刃,禰󠄀豆子の存在はお館様に認められていた文脈
beseech,懇願する（文）,NYT,医療機器メーカーが半導体メーカーに部品供給を懇願する文脈
false pretense,虚偽表示（法律）、偽りの口実,NYT,イラク戦争は偽りの大義名分に基づくものであったとする文脈
apotheosis,1.頂点、極地、2.神格化,NYT,reach an apotheosis 頂点に達する
whiner,泣き言を言う人,NYT,
encomium,賛辞、誰かを称賛する文章・スピーチ,NYT,
crook,詐欺師,NYT,
wound up 〜ing,結局〜する羽目になる,NYT,
put one's life on the line,命を賭ける,NYT,
cover-up,隠蔽する,NYT,
get huffy,怒る（口語）,NYT,メディアに関わる人々はマスコミが人々を煽動していると聞くと怒るかもしれないがと言う文脈
brigade,旅団,NYT,クリミア半島
insurgency,反乱,NYT,クリミア半島
claw its way back,取り戻す,NYT,ウクライナが軍事において巻き返しを図ろうとする文脈
not〜 it once was,昔〜だったほどではない,NYT,ウクライナはほぼ抵抗できずにロシアに領土を、明け渡した2014年よりは〜
acronym,頭字語,授業,AIMEはAverage Indexed Monthly Earnings の略
war of attrition,消耗戦,NYT,
consternation,"驚愕、仰天,予期しないものへの不安や狼狽の感情",NYT,ロシアの脅威が不安の種になっている文脈
auntie,叔母さん,時をかける少女,
fall back to sleep,寝なおす、二度寝する,時をかける少女,
loony,（話）狂人、頭がおかしい人,時をかける少女,タイムリープしてわたしはなんでもできる！って人前で叫びだした主人公への周りの反応
dicey,危ない、 運任せの（話、dice）,時をかける少女,
jones,(俗)～が欲しくてたまらない（人、モノ、薬物）,時をかける少女,
chick,1.ひな鳥、2.（俗）若い女性、お嬢さん,時をかける少女,
scarf down,（俗）ガツガツ食べる,時をかける少女,
singe,を焦がす、あぶる、表面を軽く焼く,時をかける少女,髪が焦げた
soap opera,昼ドラ,時をかける少女,
It will grow on you,だんだん好きになる,時をかける少女,最初は一方的な関係でも好きになっているものだよという文脈
deceit,詐欺、だますこと,時をかける少女,
gab,無駄話をする、些細なことで話す,時をかける少女,
sulky,すねた、むっつりした,時をかける少女,
got a crush on him,彼に熱を上げる、彼に首ったけである,時をかける少女,
I don't get it.,わからない,時をかける少女,
show restraint,慎む、自制する,時をかける少女,まったく自重することなくタイムリープする主人公をたしなめる文脈
get cocky,生意気な態度をとる、調子に乗る,時をかける少女,数学のテストでいい点とったからって調子に乗るな
What's the point of~,～するのに何の意味があるの？,時をかける少女,
I'm telling you.,本当だって,時をかける少女,
The more the merrier,大勢の方が楽しい,時をかける少女,
bedridden,寝たきりの,時をかける少女,
retirement home,老人ホーム,時をかける少女,
bowling alley,ボウリング場,時をかける少女,
have a thing for (someone),～が好きだ、～に特別な感情を持っている（特にその人に知られていない状況で）,時をかける少女,どう見てもあいつはお前のことが好きだった感じだった
I’ve been meaning to ~,ずっと～しようと思っていた,時をかける少女,ずっと言おうと思っていた
cranky,（話）1.不機嫌な、カリカリしている、2.奇妙な、風変わりな,時をかける少女,待ちくたびれて不機嫌だと思うから早く行ってあげようの文脈
whereabouts,行方、消息,時をかける少女,
sorta, (= sort of,時をかける少女,
rug rat,ガキ、こども（俗）,時をかける少女,このガキども～！
Figures of Speech,（字面以上の意味を持つ表現）、言葉のあや、修辞的用法、慣用句、ことわざ、たとえ,時をかける少女,
emporium,"1.大規模小売店,2.商業の中心地",NYT,コンゴのあるホテルはエネルギー革命に重要なリチウムをめぐる野望に満ちたビジネスの中心地になっている文脈
stiletto,スチレットヒール,NYT,
bravado,虚勢、空威張り,NYT,
swashbuckler,剣士、大胆で派手な冒険者,NYT,一攫千金を求めてコンゴに来る者たちの表現
go-to,頼りになる、（人や物）特定の状況で求められる,NYT,ホテルは商談によく用いられる
be awarded a contract,落札した、請け負った、契約を受注した,NYT,このホテルは使われていなかったビルディングを中国資本が落札して建てられた文脈～
cut a deal,契約を結ぶ,NYT,
usurp,(地位や権力を)奪う,NYT,このホテルはすぐ隣のホテルから交渉の中心地としての地位を奪った文脈
departure of,～の離脱,NYT,アメリカの採掘会社が撤退した穴を埋めるように～
mainstay,主力、頼みの綱,NYT,エネルギー革命の主力であるバッテリーの～
seasoned,ベテランの,NYT,ベテランのビジネスマン
a lot of show and little substance,見せかけだけで中身のない,NYT,all show and no substanceの亜種か
in tow,1.（ロープなどで）引かれて、牽引されて、2.後ろに従えて,NYT,人を後ろに従えて
counter-piracy,海賊掃討作戦,NYT,
flashy,派手な,鬼滅の刃,鬼滅の刃遊郭編
intel,機密情報（作戦などにかかわる）,鬼滅の刃,Hitman、とある魔術の禁書目録、鬼滅等でみた
incensed,ひどく怒った、キレた,鬼滅の刃,善逸に対して何お前キレてんだ？の文脈
in a drab way,地味に,鬼滅の刃,地味にいくのは好きじゃないんだが
drop-dead,ものすごい,鬼滅の刃,
stud,1.釘の頭、2.(口語)色男,鬼滅の刃,音柱の容姿を形容
stunner,驚くほど美人 (c.f.stun 気絶するほど),鬼滅の刃,伊之助の容姿
knockout,すごく美人な人,鬼滅の刃,
breadwinner,稼ぎ手、大黒柱,鬼滅の刃,一番人気の花魁が屋敷の経営を支えている
plaster,1.（名）漆喰、2.（動詞）べたべた塗る,鬼滅の刃,なんかべたべた塗られてたけど落としてみたらこの顔！
chaperone,付き添い、お目付役,鬼滅の刃,遊郭のおばさん、やり手
smite,1.強く打つ、2.強く惹かれる、,鬼滅の刃,イケメンの男にsmittenになった女将さん
lair,（口語）隠れ家,とある魔術の禁書目録,
genuine article,（人に対して）本物,とある魔術の禁書目録,幻想殺しというのは本当のようだねという文脈
priestess,巫女,とある魔術の禁書目録,
bona fide,1.本物の、真正な、2.誠実な、善意の,とある魔術の禁書目録,正真正銘本物の魔術師によって～、法律用語でもつかわれるらしい
congregant,集会のメンバー（宗教）,とある魔術の禁書目録,
draw the short straw,貧乏くじをひく,とある魔術の禁書目録,
itinerant,（形）巡回する、各地を転々とする、（名）行商人、転々と移動する人,とある魔術の禁書目録,
pontificate,尊大で独善的に意見を主張する,textminingwithR,序文
polysemous,（言語学）多義の,論文,
ouster,追放,NYT,アメリカはスカルノの追放を支援していた文脈
woo,説得する、支持を得ようとする,NYT,今がインドネシアを取り込むチャンスだという文脈
generate interest in~,～への興味を抱かせる,NYT,generate interest in Indonesia インドネシアへの興味を抱かせるには最上級の言葉を並べないといけない（＝インドネシアは軽視されている）文脈
superlative,最高の、最上級の,NYT,
shore up,強化する、支える,NYT,shore up support 大統領就任からアメリカ外交は同盟国への支援を強化することに注力していた文脈
fast friend,親友,NYT,アメリカ外交は仲のいい国家（親友）との関係だけでなくインドネシアなどの中立国との関係にも目を向けるべきだという文脈
merit (verb),~に値する,NYT,Indonesia merits its own special attention インドネシアは注目に値する
corrective,1.（形容詞) 修正する、2.（名）是正措置,NYT,これまで軽視してきた東南アジア外交の是正措置
delicacy（noun）,ごちそう、美味,NYT,彼らは中国の市場で食べ歩くなどの動画を投稿しているの文脈
expatriate,国外移住者,NYT,中国にいる欧米人youtuber
dime,1.アメリカ10セント硬貨、2.ほんのわずかな金額,NYT,中国のYoutuberが政府の資金(=state dime)で撮影を行う間、役人が何を映すかを全て決めているという文脈
on the cusp of,~を目前にして、~の直前に,NYT,クリスマスを目前にして家族の集会は規制されてしまった
low-key,地味な、ひかえめな,NYT,式典は控えめなものであった
purgatory,煉獄（宗教）,ヱヴァンゲリヲン新劇場版:序,
capillary,毛細血管,ヱヴァンゲリヲン新劇場版:序,
artery,動脈,ヱヴァンゲリヲン新劇場版:序,
shackle,手かせ、足枷,ヱヴァンゲリヲン新劇場版:序,
copy that,了解（トランシーバーなどで）,ヱヴァンゲリヲン新劇場版:序,
